Open,High,Low,Close,Volume,Dividends,Stock Splits
0.05589847318730577,0.06411891104396011,0.05589847318730577,0.061378344893455505,1031788800,0.0,0.0
0.06137834941070945,0.06466690297385626,0.06137834941070945,0.0635702982544899,308160000,0.0,0.0
0.06357032173637417,0.06521491427417243,0.06357032173637417,0.06466692686080933,133171200,0.0,0.0
0.06466689990382128,0.06521488708875092,0.06247432086665651,0.06302230805158615,67766400,0.0,0.0
0.06302233602979904,0.0635703234580029,0.06137837374518749,0.06192636117339134,47894400,0.0,0.0
0.06192634496851949,0.06192634496851949,0.05973439582929284,0.0602823831140995,58435200,0.0,0.0
0.06028238943330048,0.061378364117801155,0.05754245272204877,0.058638427406549454,59990400,0.0,0.0
0.05863841091156219,0.05863841091156219,0.056446462159156094,0.056994449347257614,65289600,0.0,0.0
0.05699444795309059,0.05809042230248451,0.056446460778393624,0.05809042230248451,32083200,0.0,0.0
0.058090427514319413,0.060282376409767476,0.0575424402904574,0.05973438918590546,22752000,0.0,0.0
0.059734391378470614,0.060830365866422646,0.059734391378470614,0.06083036586642265,16848000,0.0,0.0
0.06083037039890616,0.06083037039890616,0.059186408544486174,0.0602823831140995,12873600,0.0,0.0
0.060282376409767476,0.060282376409767476,0.05973438918590546,0.05973438918590546,11088000,0.0,0.0
0.05973439582929284,0.061378357683712824,0.05973439582929284,0.0602823831140995,27014400,0.0,0.0
0.060830365866422646,0.0624743275983507,0.060830365866422646,0.06083036586642265,23040000,0.0,0.0
0.060830365866422646,0.061378353110398666,0.060830365866422646,0.06083036586642265,26582400,0.0,0.0
0.06083036363362949,0.0613783508574915,0.05863841473818143,0.05973438918590546,16560000,0.0,0.0
0.05973439582929284,0.061378357683712824,0.05973439582929284,0.0602823831140995,10252800,0.0,0.0
0.06028237055222556,0.061926332064070486,0.06028237055222556,0.061378344893455505,12153600,0.0,0.0
0.06137837374518749,0.06247434860159519,0.06028239888877979,0.06192636117339134,13881600,0.0,0.0
0.06247432086665651,0.06411891271889164,0.06247432086665651,0.06302230805158615,17222400,0.0,0.0
0.06302231104354479,0.06411891576291115,0.06302231104354479,0.0635702982544899,12153600,0.0,0.0
0.0635702982544899,0.0635702982544899,0.06137834941070945,0.0635702982544899,9302400,0.0,0.0
0.0635702839164061,0.06631084965048153,0.0630222968290578,0.06576286256313324,31910400,0.0,0.0
0.06576285826393236,0.06631084531545639,0.06576285826393236,0.06631084531545639,22003200,0.0,0.0
0.06631083998429302,0.06631083998429302,0.06357027464971216,0.064118891954422,21628800,0.0,0.0
0.064118891954422,0.06466687896188976,0.062474300634776644,0.064118891954422,22924800,0.0,0.0
0.06411891271889164,0.06411891271889164,0.06302230805158615,0.06302230805158615,15552000,0.0,0.0
0.06302233415070449,0.06357032156256938,0.062474346738839615,0.06329632550477982,15609600,0.0,0.0
0.06329630785487075,0.07069476850158135,0.06302231657719674,0.06959879398345947,62352000,0.0,0.0
0.07014676403284797,0.07699723573981605,0.07014676403284797,0.07398330420255661,85795200,0.0,0.0
0.07398332944561048,0.07507930406879382,0.07343471183642691,0.07453131675720215,28886400,0.0,0.0
0.07453130942507744,0.07453130942507744,0.07179074283913438,0.07233873009681702,30326400,0.0,0.0
0.07233872867952507,0.0728867159264713,0.06905080519784769,0.07069476693868637,30902400,0.0,0.0
0.07069476850158135,0.07069476850158135,0.0685028194653376,0.06959879398345947,54345600,0.0,0.0
0.06959879398345947,0.07069476850158135,0.06905080672439853,0.06959879398345947,20246400,0.0,0.0
0.06959876848712909,0.06959876848712909,0.06905078142881393,0.06905078142881393,3254400,0.0,0.0
0.06959879398345947,0.07069476850158135,0.06959879398345947,0.06959879398345947,9734400,0.0,0.0
0.06959879398345947,0.07014678124252041,0.0685028194653376,0.06959879398345947,5155200,0.0,0.0
0.06959879690430495,0.07014678418636322,0.06905080962224669,0.07014678418636322,3542400,0.0,0.0
0.07014678124252041,0.07014678124252041,0.06959879398345947,0.06959879398345947,6076800,0.0,0.0
0.06959879690430495,0.07179074603253802,0.06959879690430495,0.07014678418636322,10483200,0.0,0.0
0.07014677969174014,0.0712427541856326,0.07014677969174014,0.07069476693868637,3830400,0.0,0.0
0.07069477146842149,0.07069477146842149,0.07014678418636322,0.07014678418636322,9302400,0.0,0.0
0.07014678418636322,0.07124275875047975,0.07014678418636322,0.07014678418636322,3801600,0.0,0.0
0.07014677969174014,0.07233872867952507,0.07014677969174014,0.07069476693868637,11952000,0.0,0.0
0.07069476850158135,0.07069476850158135,0.06905080672439853,0.06959879398345947,11001600,0.0,0.0
0.06959876848712909,0.06959876848712909,0.06850279437049878,0.06905078142881393,61977600,0.0,0.0
0.069050775038205,0.06959876204580429,0.06795480102300644,0.06795480102300644,8092800,0.0,0.0
0.06795480102300644,0.06850278803060572,0.06795480102300644,0.06795480102300644,4406400,0.0,0.0
0.06795480102300644,0.069050775038205,0.06795480102300644,0.06795480102300644,4089600,0.0,0.0
0.06795483505813016,0.07014678418636322,0.06795483505813016,0.07014678418636322,13881600,0.0,0.0
0.07014678106608647,0.07233873009681702,0.07014678106608647,0.07233873009681702,15523200,0.0,0.0
0.07233871253132329,0.07507927845179427,0.07179072540670446,0.07398330420255661,45676800,0.0,0.0
0.07453132799203652,0.07781925235720745,0.07453132799203652,0.07672327756881714,27072000,0.0,0.0
0.07672326600356882,0.07672326600356882,0.07453131675720215,0.07453131675720215,19728000,0.0,0.0
0.07453131675720215,0.07453131675720215,0.07343471183642691,0.07453131675720215,5011200,0.0,0.0
